SCHL_ID,SCHOOL_CODE,SCHOOL_NAME,PROVINCE_CODE,PROVINCE_NAME,DISTRICT_CODE,DISTRICT_NAME,LLGV_CODE,LLGV_NAME,SECTOR_CODE
9292,53A53,INAUWANI ELEMENTARY SCHOOL,53,CENTRAL PROVINCE,5303,KAIRUKU/HIRI,530310,MEKEO KUNI RURAL,ELEM
9310,53018,KALO PRIMARY SCHOOL,53,CENTRAL PROVINCE,5304,RIGO,530412,RIGO COASTAL RURAL,PRI
1458,69015,ORORO PRIMARY SCHOOL,69,NATIONAL CAPITAL DISTRICT,6901,NATIONAL CAPITAL DISTRICT,690102,MORESBY NORTH WEST,PRI
12655,61B61,NAGIHE ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6104,WEWAK,610414,BOIKIN / DAGUA RURAL,ELEM
972558,63I42,KAMBASIVE ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6307,MENYAMYA,630721,KOME RURAL,ELEM
972563,63H76,TESA ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6305,LAE,630516,LAE URBAN,ELEM
972565,63H06,HAMARY ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6307,MENYAMYA,630721,KOME RURAL,ELEM
971436,70D26,KOMAMANDA ELEMENTARY SCHOOL,70,ENGA PROVINCE,7005,WAPENAMANDA,700514,TSAK RURAL,ELEM
972578,60F58,SERRA ELEMENTARY SCHOOL,60,SANDAUN PROVINCE,6001,AITAPE/LUMI,600103,WEST AITAPE RURAL,ELEM
972556,63I52,ST.JOHNS SITUM ELEMENTARY,63,MOROBE PROVINCE,6308,NAWAE,630823,LABUTA RURAL,ELEM
11687,56A91,PARPI ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
12263,58A11,TUA (1) ELEMENTARY SCHOOL,58,SIMBU PROVINCE,5803,KARIMUI/NOMANE,580307,KARIMUI RURAL,ELEM
12265,58A14,YOGROMARU ELEMENTARY SCHOOL,58,SIMBU PROVINCE,5803,KARIMUI/NOMANE,580307,KARIMUI RURAL,ELEM
971256,56D65,MENDI TOWN ADVENTIST ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
2087,56B51,MAGANI ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
2202,56B27,LAMBO ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
2191,56B29,PINGE ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
1759,56C06,WAPI ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
2271,56A17,KUME ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560206,IMBONGU RURAL,ELEM
7875,56640,IMBONGU YEBI HIGH SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,PHS
11758,56B48,AIPUNDA ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
972605,56C58,MEGI TWO ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
971174,56056,WILWERIP PRIMARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,PRI
14936,56B50,WARIPUTI ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
2135,56B40,ILO ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
2329,56C80,YAMBUL ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
2398,56C21,SUMIA ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
1269,56037,SUMIA PRIMARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,PRI
2358,56C69,RUND ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
2384,56C49,KENGERE ELEMENTARY SCHOOL,56,SOUTHERN HIGHLANDS PROVINCE,5602,IMBONGGU,560207,LOWER MENDI RURAL,ELEM
11834,56D78,YAMARUPI,56,SOUTHERN HIGHLANDS PROVINCE,5603,KAGUA/ERAVE,560308,ERAVE RURAL,ELEM
1755,73226,HOGOMBE PRIMARY SCHOOL,73,HELA,7304,KOMO/MAGARIMA,730411,HULIA RURAL,PRI
1723,73080,PARA PRIMARY SCHOOL,73,HELA,7304,KOMO/MAGARIMA,730412,KOMO RURAL,PRI
15223,60C44,OMULA ELEMENTARY SCHOOL,60,SANDAUN PROVINCE,6004,VANIMO/GREEN RIVER,600413,BEWANI/WUTUNG ONEI RURAL,ELEM
12541,57C61,GUNIYANGE ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570609,YELIA RURAL,ELEM
12543,57C63,HANAZUHA ELEMENTARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5702,GOROKA,570203,GOROKA URBAN,ELEM
12821,61B37,WALPIAN ELEMENTARY SCHOOL,61,EAST SEPIK PROVINCE,6101,AMBUNTI/DREKIKIR,610101,AMBUNTI RURAL,ELEM
11728,71A51,NOMAD 2 ELEMENTARY SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710206,KIUNGA RURAL,ELEM
11730,71A53,OLSOBIP ELEMENTARY SCHOOL,71,KIUNGA LAKE MURRAY,7102,NORTH FLY,710209,OLSOBIP RURAL,ELEM
12105,70C58,TOPELYA ELEMENTARY SCHOOL,70,ENGA PROVINCE,7003,LAGAIP/PORGERA,700306,LAGAIP RURAL,ELEM
12108,70C59,PORGERAS ELEMENTARY SCHOOL,70,ENGA PROVINCE,7003,LAGAIP/PORGERA,700306,LAGAIP RURAL,ELEM
12264,63B22,GENOMBAYAK ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6308,NAWAE,630825,WAIN- ERAP RURAL,ELEM
12502,63C31,HOKANEIWA ELEMENTARY SCHOOL,63,MOROBE PROVINCE,6307,MENYAMYA,630723,KAPAO RURAL,ELEM
8385,58602,MUAINA SECONDARY SCHOOL,58,SIMBU PROVINCE,5806,SINASINA/YONGGOMUGL,580618,SUAI RURAL,SEC
14278,ST JOHN VIANNEY,ST JOHN VIANNEY MINOR SEMINARY SEC SCHOOL,60,SANDAUN PROVINCE,6004,VANIMO/GREEN RIVER,600413,BEWANI/WUTUNG ONEI RURAL,SEC
7859,54610,HOLY NAME SECONDARY SCHOOL,54,MILNE BAY PROVINCE,5401,ALOTAU,540103,WERAURA RURAL,SEC
9182,62C11,GUSAP ELEMENTARY SCHOOL,62,MADANG PROVINCE,6206,USINO BUNDI,620616,USINO RURAL,ELEM
14717,51B67,KAMUSIE ELEMENTARY SCHOOL,51,WESTERN PROVINCE,5101,MIDDLE FLY,510102,BAMU RURAL,ELEM
14764,55D14,WAIWA ELEMENTARY SCHOOL,55,NORTHERN PROVINCE,5501,IJIVITARI,550101,ORO BAY RURAL,ELEM
13457,57124,BARABUNA COMMUNITY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570610,GADSUP-TAIRORA RURAL,PRI
13470,57237,MARAWAKA PRIMARY SCHOOL,57,EASTERN HIGHLANDS PROVINCE,5706,OBURA/WONENARA,570609,YELIA RURAL,PRI
17555,70C64,HEWA ELEMENTARY SCHOOL,70,ENGA PROVINCE,7003,LAGAIP/PORGERA,700308,PAIELA/HEWA RURAL,ELEM
17556,70C66,PORGERA STATION ELEMENTARY SCHOOL,70,ENGA PROVINCE,7003,LAGAIP/PORGERA,700309,POGERA RURAL,ELEM
17558,70C75,PAIRAP ELEMENTARY SCHOOL,70,ENGA PROVINCE,7005,WAPENAMANDA,700513,WAPENAMANDA RURAL,ELEM
16148,61A21,Puseki,61,EAST SEPIK PROVINCE,6104,WEWAK,610415,TURUBU,ELEM
971746,62H22,KURUBAU ELEMENTARY SCHOOL,62,MADANG PROVINCE,6204,RAI COAST,620413,SAIDOR,ELEM
971753,6.2E+36,NUBIA ELEMENTARY SCHOOL,62,MADANG PROVINCE,6201,BOGIA,620102,IABU RURAL,ELEM
